,Credit_History,Income_Level,Loan_Amount,Zip_Code,Education_Level,Approval_Prob,Loan_Approval
1710,Bad,High,Small,Urban,Bachelor,0.7592313418516521,Approved
1711,Bad,Low,Medium,Rural,Master,0.19560402177894215,Disapproved
1712,Good,Medium,Small,Urban,High School,0.7323863965428041,Approved
1713,Fair,Medium,Large,Suburban,Bachelor,0.2162607492009908,Disapproved
1714,Bad,Low,Small,Urban,High School,0.2590149568443448,Disapproved
1715,Good,Medium,Large,Urban,Bachelor,0.2995711460276121,Disapproved
1716,Bad,Low,Large,Urban,High School,0.09774848070322205,Disapproved
1717,Fair,Medium,Medium,Urban,Master,0.7452718805788331,Approved
1718,Good,Low,Medium,Urban,High School,0.6563993625086312,Approved
1719,Fair,Low,Medium,Urban,Bachelor,0.5931939541505201,Approved
1720,Bad,Low,Medium,Urban,Bachelor,0.15049115788167258,Disapproved
1721,Bad,High,Medium,Rural,Master,0.19740161954811739,Disapproved
1722,Fair,Medium,Large,Urban,Master,0.39802079573214083,Disapproved
1723,Bad,Medium,Small,Suburban,High School,0.7761526154953774,Approved
1724,Fair,Medium,Medium,Urban,High School,0.4294202832066416,Disapproved
1725,Bad,Medium,Medium,Rural,Bachelor,0.36497036830439517,Disapproved
1726,Fair,Low,Medium,Urban,Bachelor,0.18510035395142754,Disapproved
1727,Good,Medium,Small,Urban,High School,0.7953408377538048,Approved
1728,Good,Low,Small,Rural,Master,0.6829867069201221,Approved
1729,Fair,Low,Large,Urban,High School,0.07747213274569675,Disapproved
1730,Fair,Medium,Small,Suburban,Master,0.5020949932767289,Approved
1731,Fair,Low,Small,Suburban,High School,0.3697446050560034,Disapproved
1732,Fair,Low,Medium,Urban,High School,0.18409845301344982,Disapproved
1733,Fair,Medium,Small,Rural,Bachelor,0.5529179960295953,Approved
1734,Bad,Medium,Medium,Rural,Bachelor,0.4284773609555623,Disapproved
1735,Good,Medium,Medium,Rural,High School,0.5676674087621527,Approved
1736,Fair,Medium,Medium,Rural,Master,0.6862972572373199,Approved
1737,Bad,Medium,Medium,Urban,Bachelor,0.2979081935190057,Disapproved
1738,Fair,Medium,Large,Urban,High School,0.3995610362022242,Disapproved
1739,Fair,Low,Large,Suburban,Master,0.31318316599394297,Disapproved
1740,Good,Low,Large,Urban,Master,0.6329124698760749,Approved
1741,Good,Medium,Large,Urban,Bachelor,0.3929473852319016,Disapproved
1742,Good,Low,Medium,Urban,Master,0.6189179693540738,Approved
1743,Bad,High,Medium,Rural,High School,0.32108843580009677,Disapproved
1744,Fair,High,Large,Urban,High School,0.7299203335367648,Approved
1745,Fair,Low,Small,Rural,Bachelor,0.38154501509746847,Disapproved
1746,Bad,Low,Large,Urban,Master,0.18053524574162166,Disapproved
1747,Fair,Low,Medium,Urban,Bachelor,0.6367853983676132,Approved
1748,Good,Low,Large,Rural,High School,0.22468939475605956,Disapproved
1749,Bad,Low,Large,Rural,Bachelor,0.20187083962405528,Disapproved
1750,Fair,Medium,Large,Urban,High School,0.21947012554644385,Disapproved
1751,Fair,High,Medium,Urban,High School,0.8852691419221329,Approved
1752,Bad,Medium,Small,Urban,Bachelor,0.2310263597621359,Disapproved
1753,Fair,Low,Large,Rural,Bachelor,0.10898257777938786,Disapproved
1754,Good,Low,Medium,Urban,High School,0.3690156559095042,Disapproved
1755,Good,Medium,Large,Urban,High School,0.3365537424807945,Disapproved
1756,Good,High,Small,Suburban,Bachelor,0.8974338684525098,Approved
1757,Fair,High,Small,Urban,Bachelor,0.9130238373689424,Approved
1758,Bad,High,Large,Urban,Bachelor,0.4927012997503001,Disapproved
1759,Fair,Medium,Medium,Rural,Master,0.5462501764486938,Approved
1760,Fair,Medium,Small,Rural,High School,0.6664433969924584,Approved
1761,Good,Low,Medium,Rural,High School,0.4501705078277887,Disapproved
1762,Bad,Medium,Medium,Urban,Master,0.40976509202800715,Disapproved
1763,Fair,Low,Medium,Rural,Bachelor,0.3558441901769406,Disapproved
1764,Bad,Medium,Medium,Suburban,Bachelor,0.3783292297957777,Disapproved
1765,Fair,Medium,Small,Urban,Master,0.5503252569009118,Approved
1766,Good,Low,Small,Suburban,Bachelor,0.5160511685877209,Approved
1767,Fair,Low,Small,Urban,High School,0.5529703099045639,Approved
1768,Fair,Low,Medium,Suburban,Master,0.3882027745293441,Disapproved
1769,Fair,Low,Medium,Suburban,High School,0.30021192211268266,Disapproved
1770,Fair,Low,Medium,Suburban,Bachelor,0.2773397108041798,Disapproved
1771,Good,Low,Small,Urban,Bachelor,0.7709828405614474,Approved
1772,Good,Low,Small,Suburban,Bachelor,0.7588342215397925,Approved
1773,Good,Low,Medium,Urban,Bachelor,0.8055977237449038,Approved
1774,Good,High,Large,Rural,Bachelor,0.8060453064972056,Approved
1775,Fair,Low,Medium,Suburban,Master,0.22499437234959577,Disapproved
1776,Fair,Low,Small,Urban,Master,0.5178456323843366,Approved
1777,Fair,Medium,Medium,Urban,High School,0.2976338184057463,Disapproved
1778,Fair,High,Large,Suburban,Master,0.2088693721544893,Disapproved
1779,Good,Medium,Large,Urban,High School,0.8125522719979008,Approved
1780,Bad,Low,Medium,Suburban,High School,0.46421545744414183,Disapproved
1781,Good,Medium,Small,Urban,Master,0.716601502543693,Approved
1782,Fair,Medium,Small,Suburban,Bachelor,0.8172694462657351,Approved
1783,Fair,Medium,Small,Urban,High School,0.8312963213200896,Approved
1784,Fair,Medium,Small,Suburban,Bachelor,0.36160440777709774,Disapproved
1785,Good,High,Medium,Rural,High School,0.8495745589479848,Approved
1786,Fair,High,Medium,Suburban,Bachelor,0.5502042497430272,Approved
1787,Fair,Medium,Medium,Urban,Bachelor,0.570274612968318,Approved
1788,Bad,Medium,Small,Rural,Master,0.8806460759067187,Approved
1789,Fair,Medium,Medium,Urban,High School,0.744253510503871,Approved
1790,Bad,High,Medium,Suburban,High School,0.44664087587794143,Disapproved
1791,Good,Low,Large,Suburban,High School,0.6157263432034384,Approved
1792,Fair,High,Large,Urban,High School,0.20006607433509452,Disapproved
1793,Fair,Low,Small,Urban,Master,0.6283016290425962,Approved
1794,Bad,Medium,Small,Urban,Master,0.5932145029482424,Approved
1795,Bad,High,Medium,Rural,Master,0.5818534810106407,Approved
1796,Good,Low,Large,Rural,Bachelor,0.3123455801920794,Disapproved
1797,Bad,Medium,Small,Urban,Master,0.5700951415901528,Approved
1798,Bad,Low,Small,Urban,High School,0.5254723930313554,Approved
1799,Bad,Low,Medium,Rural,High School,0.0673980281025178,Disapproved
1800,Good,Low,Medium,Urban,Bachelor,0.4973859758033903,Disapproved
1801,Good,Low,Medium,Urban,Master,0.4027726982102251,Disapproved
1802,Fair,Low,Medium,Urban,Bachelor,0.49384575864710734,Disapproved
1803,Fair,High,Small,Urban,Bachelor,0.8885103965226865,Approved
1804,Fair,High,Large,Suburban,High School,0.3704872515062128,Disapproved
1805,Good,Low,Large,Suburban,Bachelor,0.23719494338512107,Disapproved
1806,Fair,Medium,Large,Urban,Master,0.36729668335921767,Disapproved
1807,Bad,Low,Medium,Rural,Bachelor,0.1343099791788388,Disapproved
1808,Bad,Low,Large,Urban,Bachelor,0.12884619554838356,Disapproved
1809,Bad,Low,Large,Suburban,Bachelor,0.12131137429082886,Disapproved
1810,Fair,High,Large,Urban,Master,0.5617731441747497,Approved
1811,Good,High,Large,Suburban,Bachelor,0.6744681890813519,Approved
1812,Fair,Low,Medium,Urban,Bachelor,0.41297929772901015,Disapproved
1813,Bad,Low,Large,Urban,Bachelor,0.3330874807830519,Disapproved
1814,Bad,Low,Medium,Rural,High School,0.2821083722474154,Disapproved
1815,Good,Medium,Medium,Urban,Master,0.601803690564804,Approved
1816,Fair,Medium,Large,Suburban,Master,0.30722006833664284,Disapproved
1817,Good,Low,Medium,Rural,Bachelor,0.42479080093750227,Disapproved
1818,Fair,Medium,Small,Suburban,High School,0.5051481655280589,Approved
1819,Fair,Low,Small,Urban,Bachelor,0.3292982192512187,Disapproved
1820,Fair,High,Large,Urban,Bachelor,0.648003280880029,Approved
1821,Bad,Medium,Small,Rural,High School,0.39260513925461593,Disapproved
1822,Fair,Medium,Medium,Urban,High School,0.5594907189930528,Approved
1823,Good,Medium,Large,Suburban,Master,0.4593193311130735,Disapproved
1824,Fair,High,Large,Suburban,Master,0.46266926469973496,Disapproved
1825,Fair,Low,Medium,Suburban,Master,0.573585513626974,Approved
1826,Bad,Low,Medium,Suburban,Bachelor,0.26996205248073846,Disapproved
1827,Good,High,Medium,Urban,Master,0.6394797312094767,Approved
1828,Good,Low,Small,Suburban,Bachelor,0.6179204919803134,Approved
1829,Fair,Low,Large,Suburban,Bachelor,0.36620184807195466,Disapproved
1830,Good,Medium,Medium,Urban,Master,0.731344913632376,Approved
1831,Fair,High,Medium,Urban,Master,0.7549241682433504,Approved
1832,Fair,Medium,Medium,Suburban,Master,0.4692875483291774,Disapproved
1833,Good,High,Small,Suburban,Master,0.7144425376183645,Approved
1834,Good,Medium,Small,Urban,Master,0.8415630137047406,Approved
1835,Fair,Low,Small,Suburban,Bachelor,0.5893225545996409,Approved
1836,Bad,Medium,Medium,Urban,Master,0.39218718486498505,Disapproved
1837,Fair,Medium,Medium,Rural,Bachelor,0.2953213905814507,Disapproved
1838,Good,Low,Medium,Suburban,High School,0.44470395438151655,Disapproved
1839,Fair,Low,Medium,Urban,Master,0.25541451567727524,Disapproved
1840,Fair,Low,Medium,Urban,Master,0.4510968071702222,Disapproved
1841,Fair,Medium,Small,Suburban,Bachelor,0.7249605936931299,Approved
1842,Fair,High,Medium,Rural,Master,0.621095678097404,Approved
1843,Fair,Medium,Large,Urban,High School,0.5028984853209907,Approved
1844,Good,High,Small,Suburban,Master,0.9428082608535668,Approved
1845,Fair,Low,Small,Urban,Bachelor,0.6050692625982266,Approved
1846,Bad,High,Medium,Urban,Bachelor,0.5763419469784218,Approved
1847,Bad,High,Medium,Suburban,Master,0.3812582329169894,Disapproved
1848,Good,Low,Large,Urban,Master,0.2827492718852588,Disapproved
1849,Fair,High,Medium,Suburban,Master,0.7653228184704889,Approved
1850,Fair,Low,Large,Rural,Master,0.1568965064330758,Disapproved
1851,Good,High,Large,Rural,High School,0.726685240808185,Approved
1852,Good,High,Medium,Urban,High School,0.9087727841194118,Approved
1853,Good,Medium,Medium,Suburban,Master,0.7526293663557895,Approved
1854,Good,Medium,Small,Rural,Master,0.7834938273143323,Approved
1855,Fair,Low,Small,Urban,Bachelor,0.3364072535458942,Disapproved
1856,Good,Medium,Large,Urban,High School,0.5347989532580553,Approved
1857,Fair,Low,Small,Rural,Bachelor,0.7016368123381358,Approved
1858,Good,Medium,Medium,Urban,Bachelor,0.6385328066691531,Approved
1859,Good,Medium,Large,Rural,Master,0.6681704680929265,Approved
1860,Good,High,Medium,Suburban,High School,0.8044160615191193,Approved
1861,Fair,Low,Medium,Urban,High School,0.43369433315355355,Disapproved
1862,Bad,High,Medium,Urban,Master,0.41643755280508765,Disapproved
1863,Fair,High,Small,Urban,High School,0.5559530110698115,Approved
1864,Good,Medium,Medium,Urban,Master,0.6006648294752861,Approved
1865,Good,Low,Small,Suburban,Bachelor,0.6379153688846781,Approved
1866,Bad,Low,Medium,Urban,Bachelor,0.32423834837791254,Disapproved
1867,Bad,Low,Large,Urban,High School,0.1451380051499427,Disapproved
1868,Bad,Medium,Medium,Urban,High School,0.5217571757712507,Approved
1869,Good,Medium,Large,Rural,Bachelor,0.5539200186579407,Approved
1870,Good,High,Medium,Urban,Master,0.6997951567734861,Approved
1871,Fair,Low,Medium,Rural,Bachelor,0.2710533983882061,Disapproved
1872,Fair,Low,Medium,Rural,High School,0.29919181944419543,Disapproved
1873,Good,Medium,Large,Urban,Master,0.5343872065915394,Approved
1874,Good,High,Medium,Urban,High School,0.7175304645989142,Approved
1875,Fair,High,Large,Rural,Master,0.3028934255195527,Disapproved
1876,Fair,High,Medium,Suburban,High School,0.7649674363105665,Approved
1877,Fair,Medium,Small,Urban,Bachelor,0.6868344389861387,Approved
1878,Fair,Medium,Small,Suburban,High School,0.7037685208900312,Approved
1879,Fair,High,Large,Urban,Bachelor,0.3389928569015607,Disapproved
1880,Fair,Medium,Medium,Urban,Bachelor,0.3435481816644694,Disapproved
1881,Good,Low,Medium,Suburban,Bachelor,0.522506137012358,Approved
1882,Fair,Low,Small,Urban,High School,0.2444157242979528,Disapproved
1883,Good,Low,Medium,Rural,Master,0.6693740837206289,Approved
1884,Bad,Medium,Large,Rural,Master,0.15016808996092282,Disapproved
1885,Fair,Low,Medium,Suburban,Bachelor,0.3470759984588431,Disapproved
1886,Bad,Low,Medium,Urban,Bachelor,0.3033567925925004,Disapproved
1887,Fair,Low,Small,Urban,Bachelor,0.5123303511569582,Approved
1888,Good,Medium,Small,Urban,High School,0.6401269876904828,Approved
1889,Good,Low,Large,Urban,Master,0.628626079919347,Approved
1890,Bad,Medium,Small,Urban,High School,0.2752408278755241,Disapproved
1891,Fair,Low,Large,Suburban,Bachelor,0.07103341804545837,Disapproved
1892,Good,Low,Small,Urban,Bachelor,0.8053982088320394,Approved
1893,Fair,Medium,Small,Rural,Bachelor,0.43357054393599137,Disapproved
1894,Fair,Low,Medium,Rural,Master,0.5893168593053765,Approved
1895,Good,Low,Small,Suburban,High School,0.7493814962071323,Approved
1896,Fair,Low,Large,Suburban,Master,0.28386748546693114,Disapproved
1897,Bad,High,Large,Urban,Bachelor,0.23952664342702013,Disapproved
1898,Fair,Medium,Large,Urban,High School,0.2387693837024718,Disapproved
1899,Good,Low,Large,Rural,Bachelor,0.33118892547669715,Disapproved
1900,Fair,Low,Medium,Suburban,Master,0.26308382581784473,Disapproved
1901,Bad,High,Large,Urban,Bachelor,0.5012793170396491,Approved
1902,Good,Medium,Small,Suburban,Bachelor,0.7013845066092589,Approved
1903,Bad,Medium,Medium,Rural,Bachelor,0.4280898565310753,Disapproved
1904,Good,Medium,Medium,Urban,Bachelor,0.7928849835622321,Approved
1905,Fair,Medium,Medium,Urban,Master,0.36754738305686846,Disapproved
1906,Good,Medium,Medium,Rural,High School,0.7174489977888,Approved
1907,Fair,Medium,Large,Urban,Bachelor,0.23073540802915954,Disapproved
1908,Fair,Medium,Medium,Urban,Bachelor,0.479868936596357,Disapproved
1909,Bad,Low,Small,Urban,High School,0.3193811894924814,Disapproved
1910,Fair,High,Medium,Rural,Master,0.5170930690180356,Approved
1911,Good,Medium,Large,Rural,High School,0.5339024855668054,Approved
1912,Good,Low,Small,Urban,High School,0.5140465699496821,Approved
1913,Fair,High,Large,Urban,Master,0.6168927693631342,Approved
1914,Fair,High,Medium,Urban,High School,0.4541867579695954,Disapproved
1915,Good,High,Medium,Urban,Master,0.5861721924321082,Approved
1916,Good,High,Small,Urban,Master,0.8407825390138801,Approved
1917,Fair,High,Small,Urban,High School,0.7175689646822992,Approved
1918,Fair,Low,Small,Urban,High School,0.6054594995234096,Approved
1919,Fair,High,Medium,Rural,High School,0.6406093383534571,Approved
1920,Fair,High,Large,Urban,High School,0.23265599468505985,Disapproved
1921,Bad,Low,Small,Urban,High School,0.5466814839870565,Approved
1922,Fair,Low,Medium,Urban,Master,0.3456513786086792,Disapproved
1923,Fair,High,Large,Suburban,Master,0.5067963332300904,Approved
1924,Good,Low,Small,Urban,High School,0.9078308384090159,Approved
1925,Bad,High,Large,Suburban,Master,0.5141377895796304,Approved
1926,Fair,Low,Large,Suburban,High School,0.2743442291623349,Disapproved
1927,Fair,Low,Small,Rural,Bachelor,0.3316497578989721,Disapproved
1928,Fair,Medium,Medium,Suburban,High School,0.29878658616273773,Disapproved
1929,Bad,Low,Large,Urban,High School,0.2680853431615715,Disapproved
1930,Fair,Medium,Small,Urban,Master,0.6043086193311052,Approved
1931,Fair,Medium,Small,Suburban,Bachelor,0.6401209089581634,Approved
1932,Fair,Low,Large,Urban,Bachelor,0.13489902549146746,Disapproved
1933,Fair,Low,Medium,Urban,Bachelor,0.45862478789336164,Disapproved
1934,Fair,Low,Small,Rural,High School,0.7194071784165237,Approved
1935,Good,Low,Large,Rural,Master,0.6313436004122834,Approved
1936,Fair,Medium,Medium,Rural,Master,0.43538092630209196,Disapproved
1937,Good,Medium,Large,Rural,High School,0.6115773356001967,Approved
1938,Fair,Low,Small,Suburban,Bachelor,0.5334354791502676,Approved
1939,Bad,Medium,Small,Suburban,Bachelor,0.6474140342350423,Approved
1940,Bad,Low,Large,Urban,Bachelor,0.14605262587866538,Disapproved
1941,Fair,Low,Small,Rural,Bachelor,0.4152733662668488,Disapproved
1942,Good,Low,Small,Urban,Bachelor,0.8470156128752508,Approved
1943,Good,High,Medium,Suburban,Master,0.7755780630234764,Approved
1944,Good,High,Medium,Urban,Bachelor,0.720345889895489,Approved
1945,Fair,High,Large,Urban,Bachelor,0.496399299712292,Disapproved
1946,Fair,Low,Small,Suburban,Bachelor,0.4292115288883175,Disapproved
1947,Bad,Low,Medium,Urban,Bachelor,0.30174885380630107,Disapproved
1948,Fair,Medium,Medium,Suburban,Bachelor,0.47615760940802226,Disapproved
1949,Fair,Medium,Medium,Suburban,Bachelor,0.38075841909813446,Disapproved
1950,Bad,High,Medium,Suburban,Bachelor,0.8056334367380484,Approved
1951,Fair,Low,Small,Urban,Bachelor,0.38655019071858554,Disapproved
1952,Fair,Low,Medium,Urban,High School,0.443655886753023,Disapproved
1953,Good,Medium,Small,Rural,Bachelor,0.7983635131774423,Approved
1954,Good,High,Medium,Urban,Master,0.6238415892706971,Approved
1955,Good,High,Large,Urban,Master,0.5750015391906288,Approved
1956,Fair,Medium,Small,Urban,Master,0.4524041117944466,Disapproved
1957,Fair,High,Medium,Rural,Bachelor,0.8667203778781309,Approved
1958,Fair,Medium,Medium,Suburban,High School,0.46449907418445463,Disapproved
1959,Good,High,Small,Urban,Bachelor,0.8467640144008548,Approved
1960,Bad,High,Large,Rural,High School,0.6193558940740659,Approved
1961,Fair,High,Medium,Rural,Master,0.49611243529891697,Disapproved
1962,Good,Low,Large,Suburban,High School,0.5958803390613205,Approved
1963,Fair,Low,Medium,Urban,Master,0.4824862149852331,Disapproved
1964,Fair,Medium,Small,Suburban,Master,0.35282866080403935,Disapproved
1965,Fair,Medium,Small,Urban,Master,0.6090968726866316,Approved
1966,Bad,High,Medium,Suburban,Master,0.5385833845539387,Approved
1967,Fair,Low,Small,Rural,Bachelor,0.5546007513109403,Approved
1968,Fair,Low,Small,Rural,Bachelor,0.5550344096294952,Approved
1969,Bad,Medium,Medium,Urban,Bachelor,0.2656308332826717,Disapproved
1970,Bad,Low,Large,Rural,High School,0.09718494471126886,Disapproved
1971,Good,Low,Medium,Urban,High School,0.4986546463219531,Disapproved
1972,Fair,Low,Small,Urban,High School,0.8141209515578501,Approved
1973,Fair,Medium,Small,Suburban,Master,0.5232492017789803,Approved
1974,Fair,Low,Medium,Suburban,High School,0.316044127468101,Disapproved
1975,Good,High,Small,Urban,Master,0.8638546990898152,Approved
1976,Fair,Medium,Large,Urban,High School,0.17136744294861322,Disapproved
1977,Fair,High,Large,Urban,Master,0.5378273061203165,Approved
1978,Good,Medium,Small,Suburban,Bachelor,0.6219381022282612,Approved
1979,Good,Low,Large,Rural,Bachelor,0.23736649054750256,Disapproved
1980,Bad,Low,Large,Suburban,Bachelor,0.07552464815540239,Disapproved
1981,Good,Low,Medium,Urban,Master,0.2941216465334852,Disapproved
1982,Fair,Medium,Medium,Rural,High School,0.7028975014962794,Approved
1983,Fair,Low,Medium,Suburban,Master,0.4709291828060052,Disapproved
1984,Bad,Low,Large,Rural,Bachelor,0.23850685888746054,Disapproved
1985,Bad,Medium,Small,Suburban,High School,0.6400724443419948,Approved
1986,Good,Low,Small,Rural,High School,0.6768575599753202,Approved
1987,Fair,Low,Medium,Rural,Master,0.38311330130217636,Disapproved
1988,Fair,Medium,Medium,Suburban,High School,0.6670426993846388,Approved
1989,Good,High,Small,Urban,Master,0.9477935426977427,Approved
1990,Good,Low,Medium,Suburban,High School,0.3485003065860959,Disapproved
1991,Bad,Low,Medium,Suburban,Bachelor,0.6307982281773553,Approved
1992,Fair,High,Medium,Suburban,Bachelor,0.4166180377407073,Disapproved
1993,Bad,Low,Medium,Urban,Bachelor,0.1959338793771894,Disapproved
1994,Good,High,Large,Urban,Bachelor,0.638989174130775,Approved
1995,Fair,Low,Medium,Suburban,Master,0.4136932177206594,Disapproved
1996,Good,High,Medium,Rural,Master,0.9211690970028092,Approved
1997,Bad,Low,Small,Suburban,Bachelor,0.550779705570814,Approved
1998,Bad,High,Small,Urban,Bachelor,0.6883108958041839,Approved
1999,Fair,Low,Medium,Urban,Bachelor,0.5545880835249102,Approved
2000,Fair,Medium,Small,Urban,Master,0.7133481469786023,Approved
2001,Fair,Low,Large,Urban,Master,0.17489584213518394,Disapproved
2002,Good,Low,Medium,Urban,High School,0.6255620416101471,Approved
2003,Fair,Medium,Small,Suburban,High School,0.6748061870779997,Approved
2004,Fair,Medium,Medium,Rural,Master,0.37338556593239525,Disapproved
2005,Good,High,Medium,Urban,High School,0.8808469351041114,Approved
2006,Fair,Medium,Medium,Suburban,Master,0.4992997911028318,Disapproved
2007,Good,High,Small,Suburban,Bachelor,0.7497016444524158,Approved
2008,Bad,Medium,Medium,Rural,High School,0.22285912455588525,Disapproved
2009,Fair,High,Small,Rural,Bachelor,0.8212939624022653,Approved
2010,Bad,High,Small,Urban,Bachelor,0.76994631505907,Approved
2011,Bad,Low,Small,Urban,Master,0.4644357019166081,Disapproved
2012,Good,High,Medium,Urban,Bachelor,0.8165715409563187,Approved
2013,Bad,High,Large,Suburban,Bachelor,0.21200685183587917,Disapproved
2014,Fair,Low,Medium,Suburban,Master,0.4021753412495314,Disapproved
2015,Fair,Medium,Medium,Urban,High School,0.45441787529565036,Disapproved
2016,Fair,Low,Small,Rural,Bachelor,0.5171704257139866,Approved
2017,Good,High,Medium,Urban,Bachelor,0.7507674063100378,Approved
2018,Bad,Low,Small,Rural,High School,0.2915040602940273,Disapproved
2019,Fair,Low,Large,Urban,High School,0.3499485878876967,Disapproved
2020,Good,Medium,Small,Urban,Bachelor,0.663723091088582,Approved
2021,Fair,Medium,Medium,Urban,High School,0.30674243267582935,Disapproved
2022,Good,High,Medium,Urban,Bachelor,0.6599098073551684,Approved
2023,Bad,High,Small,Suburban,Bachelor,0.7501787963126229,Approved
2024,Fair,Medium,Large,Urban,Bachelor,0.40159039062209995,Disapproved
2025,Fair,Low,Large,Suburban,Bachelor,0.09322643105596612,Disapproved
2026,Good,Medium,Medium,Urban,Bachelor,0.7457314430172703,Approved
2027,Good,Medium,Medium,Urban,High School,0.6579568221208506,Approved
2028,Fair,Medium,Small,Rural,High School,0.6018749173989416,Approved
2029,Fair,Low,Small,Rural,Bachelor,0.509499631025078,Approved
2030,Bad,Medium,Large,Urban,Master,0.10484718647358716,Disapproved
2031,Fair,Low,Medium,Rural,High School,0.4148558400715697,Disapproved
2032,Fair,Medium,Medium,Suburban,Bachelor,0.31107538464147655,Disapproved
2033,Good,Medium,Small,Urban,Master,0.7522050044498065,Approved
2034,Fair,High,Small,Rural,Master,0.7207074797893755,Approved
2035,Fair,Medium,Small,Urban,Master,0.7665131615569678,Approved
2036,Bad,Low,Medium,Urban,High School,0.2527054141644455,Disapproved
2037,Bad,High,Large,Suburban,High School,0.4200574983984658,Disapproved
2038,Fair,Medium,Medium,Urban,Bachelor,0.32121432936574273,Disapproved
2039,Fair,Low,Medium,Urban,High School,0.37110476533908415,Disapproved
2040,Good,Medium,Small,Urban,Bachelor,0.8436132771477752,Approved
2041,Fair,Low,Medium,Suburban,Master,0.5876586936758482,Approved
2042,Fair,High,Small,Suburban,Bachelor,0.606279425014527,Approved
2043,Bad,Medium,Medium,Urban,High School,0.23692824009432914,Disapproved
2044,Good,Medium,Small,Rural,High School,0.8414444564268859,Approved
2045,Good,Low,Large,Urban,Master,0.6446233204535217,Approved
2046,Bad,Low,Large,Suburban,Bachelor,0.17127782295060004,Disapproved
2047,Good,High,Large,Rural,Master,0.449588861311718,Disapproved
2048,Fair,High,Small,Rural,Master,0.6138520588847521,Approved
2049,Bad,Low,Large,Suburban,Master,0.15772659285795346,Disapproved
2050,Fair,Low,Small,Suburban,Master,0.6057745176303718,Approved
2051,Fair,Low,Large,Urban,Bachelor,0.22188576279665476,Disapproved
2052,Bad,Medium,Medium,Suburban,Master,0.2099685517756901,Disapproved
2053,Good,Medium,Small,Urban,Bachelor,0.8867893867494917,Approved
2054,Good,Medium,Medium,Urban,High School,0.6125700895719582,Approved
2055,Fair,Medium,Large,Urban,High School,0.43138985439427885,Disapproved
2056,Fair,High,Large,Urban,Bachelor,0.21608921776650664,Disapproved
2057,Fair,Medium,Small,Suburban,High School,0.8131151904799996,Approved
2058,Fair,Low,Medium,Rural,High School,0.2881601942398873,Disapproved
2059,Fair,Medium,Medium,Urban,Bachelor,0.7132055069510519,Approved
2060,Bad,High,Medium,Urban,Master,0.5670133086447013,Approved
2061,Fair,Medium,Medium,Urban,Bachelor,0.2889741020236978,Disapproved
2062,Good,Medium,Large,Suburban,Bachelor,0.5481313047263873,Approved
2063,Fair,Medium,Medium,Urban,High School,0.7530001547215965,Approved
2064,Bad,High,Small,Urban,High School,0.5329753493131981,Approved
2065,Good,Medium,Large,Suburban,Bachelor,0.7532178687180551,Approved
2066,Fair,Low,Small,Rural,Master,0.6101575709789667,Approved
2067,Fair,High,Small,Urban,Bachelor,0.8860623290168733,Approved
2068,Bad,High,Small,Urban,Bachelor,0.6517561009734236,Approved
2069,Fair,Low,Large,Suburban,Master,0.23305086572681166,Disapproved
2070,Good,Medium,Medium,Urban,High School,0.8682724060882695,Approved
2071,Fair,Medium,Small,Urban,Bachelor,0.760795359765856,Approved
2072,Fair,Low,Large,Suburban,Master,0.22030566824461853,Disapproved
2073,Good,High,Large,Rural,Bachelor,0.6898573909866708,Approved
2074,Good,Medium,Small,Urban,High School,0.7251377290827579,Approved
2075,Good,High,Medium,Urban,High School,0.776638584889315,Approved
2076,Fair,Low,Medium,Urban,Bachelor,0.5802522708014499,Approved
2077,Fair,Medium,Medium,Rural,High School,0.48177194429000403,Disapproved
2078,Good,Low,Small,Urban,Master,0.5690551933318748,Approved
2079,Good,Medium,Medium,Suburban,High School,0.5135953106732242,Approved
2080,Bad,Medium,Small,Rural,High School,0.5202006123487675,Approved
2081,Bad,Medium,Medium,Rural,High School,0.2408944870849284,Disapproved
2082,Fair,Low,Medium,Suburban,Master,0.19895729683223518,Disapproved
2083,Good,Low,Medium,Urban,Master,0.35737500605203376,Disapproved
2084,Fair,Low,Large,Urban,Master,0.4151505902249068,Disapproved
2085,Fair,Low,Medium,Urban,Bachelor,0.36585047401998083,Disapproved
2086,Bad,Medium,Medium,Suburban,Master,0.35832833895161936,Disapproved
2087,Fair,Medium,Small,Suburban,Master,0.5136399287777444,Approved
2088,Good,Medium,Medium,Rural,Bachelor,0.575932833634424,Approved
2089,Fair,Medium,Medium,Urban,Master,0.40900272790856984,Disapproved
2090,Good,Low,Medium,Suburban,Master,0.5038203441409205,Approved
2091,Good,Low,Small,Rural,Master,0.44177341215474975,Disapproved
2092,Fair,Low,Medium,Rural,Master,0.5633116377486869,Approved
2093,Fair,High,Large,Suburban,Master,0.4647480445192811,Disapproved
2094,Fair,Medium,Small,Suburban,Master,0.6937840303997104,Approved
2095,Good,Low,Medium,Suburban,Bachelor,0.688521525482128,Approved
2096,Fair,Low,Medium,Urban,Master,0.5225026396478489,Approved
2097,Fair,High,Medium,Urban,High School,0.5366859617891587,Approved
2098,Good,Medium,Small,Urban,Master,0.84989677175085,Approved
2099,Fair,Medium,Medium,Urban,Master,0.6036829090191265,Approved
2100,Good,Medium,Large,Suburban,Master,0.5595012553728228,Approved
2101,Fair,Low,Small,Suburban,Master,0.7087008211164455,Approved
