,Credit_History,Income_Level,Loan_Amount,Zip_Code,Education_Level,loan_approval
2433,Fair,Medium,Large,Urban,Bachelor,1
2434,Good,Low,Large,Urban,High School,1
2435,Fair,High,Small,Urban,Bachelor,1
2436,Fair,Medium,Small,Suburban,Bachelor,1
2437,Fair,Low,Small,Rural,High School,1
2438,Fair,Low,Medium,Rural,High School,0
2439,Bad,Low,Small,Urban,High School,1
2440,Fair,High,Medium,Urban,High School,0
2441,Fair,Medium,Medium,Urban,Bachelor,0
2442,Good,High,Large,Urban,Bachelor,0
2443,Good,Low,Small,Rural,Master,1
2444,Fair,Low,Small,Rural,High School,0
2445,Fair,Low,Large,Urban,Master,0
2446,Fair,Medium,Large,Urban,High School,0
2447,Bad,High,Medium,Urban,Bachelor,0
2448,Bad,Medium,Small,Urban,High School,0
2449,Fair,Low,Small,Rural,Master,0
2450,Fair,High,Large,Suburban,High School,1
2451,Good,Medium,Medium,Suburban,Master,1
2452,Fair,Low,Medium,Suburban,High School,0
2453,Fair,High,Small,Urban,High School,1
2454,Fair,Low,Small,Urban,Bachelor,0
2455,Bad,Low,Medium,Urban,Master,0
2456,Fair,Low,Large,Suburban,Master,0
2457,Fair,Medium,Small,Rural,Bachelor,1
2458,Fair,Medium,Medium,Suburban,Master,0
2459,Fair,Low,Small,Urban,Master,1
2460,Good,Low,Medium,Suburban,Bachelor,1
2461,Good,Medium,Small,Urban,Bachelor,1
2462,Fair,High,Small,Urban,High School,1
2463,Fair,Medium,Medium,Urban,Bachelor,0
2464,Fair,Low,Small,Urban,Master,1
2465,Fair,Low,Large,Rural,Bachelor,0
2466,Fair,Low,Small,Suburban,Master,1
2467,Bad,Low,Small,Urban,Master,0
2468,Fair,Medium,Medium,Urban,Master,1
2469,Fair,Medium,Medium,Urban,High School,0
2470,Fair,Medium,Medium,Urban,High School,1
2471,Good,Medium,Small,Urban,High School,1
2472,Good,Low,Small,Suburban,Master,1
2473,Good,Low,Medium,Urban,High School,0
2474,Fair,Medium,Small,Rural,Bachelor,1
2475,Good,Low,Medium,Urban,High School,0
2476,Bad,Low,Large,Urban,High School,0
2477,Good,Low,Medium,Urban,High School,1
2478,Bad,Low,Medium,Suburban,High School,0
2479,Good,Low,Large,Suburban,Bachelor,1
2480,Fair,High,Medium,Urban,Master,1
2481,Good,High,Medium,Rural,Bachelor,1
2482,Good,Low,Small,Urban,Master,1
2483,Bad,Low,Large,Rural,Bachelor,0
2484,Fair,Medium,Medium,Urban,Master,1
2485,Good,Low,Medium,Suburban,Master,0
2486,Fair,Low,Small,Suburban,Master,1
2487,Good,Low,Small,Suburban,High School,1
2488,Fair,Low,Small,Urban,Master,0
2489,Fair,Medium,Small,Urban,High School,1
2490,Fair,High,Medium,Suburban,Bachelor,1
2491,Fair,Low,Large,Rural,Bachelor,0
2492,Good,Low,Small,Suburban,Bachelor,1
2493,Fair,Low,Small,Urban,Bachelor,1
2494,Fair,Low,Medium,Urban,High School,0
2495,Fair,High,Small,Suburban,Master,1
2496,Fair,Medium,Small,Urban,Bachelor,1
2497,Good,Medium,Small,Urban,High School,1
2498,Good,Medium,Small,Suburban,Bachelor,1
2499,Fair,High,Medium,Urban,Bachelor,1
2500,Good,High,Medium,Urban,High School,1
2501,Good,Low,Large,Urban,High School,0
2502,Fair,Low,Large,Suburban,Master,0
2503,Good,Medium,Small,Urban,Master,1
2504,Fair,Low,Medium,Rural,High School,1
2505,Bad,High,Medium,Urban,Bachelor,1
2506,Good,Medium,Medium,Urban,Bachelor,1
2507,Fair,High,Small,Suburban,Bachelor,1
2508,Good,Low,Large,Suburban,Bachelor,1
2509,Good,High,Medium,Urban,High School,1
2510,Bad,Low,Medium,Urban,Bachelor,0
2511,Good,High,Medium,Urban,High School,1
2512,Fair,Low,Small,Suburban,Bachelor,1
2513,Fair,Medium,Small,Urban,Master,1
2514,Fair,Medium,Medium,Suburban,Master,1
2515,Good,Medium,Small,Suburban,Master,1
2516,Bad,Medium,Medium,Suburban,Master,0
2517,Fair,High,Small,Suburban,High School,1
2518,Fair,Medium,Large,Suburban,Master,0
2519,Good,Medium,Small,Urban,High School,1
2520,Fair,Low,Medium,Urban,Master,0
2521,Bad,High,Large,Urban,Master,0
2522,Fair,Medium,Large,Suburban,Bachelor,0
2523,Fair,Medium,Medium,Suburban,Bachelor,1
2524,Good,Low,Small,Urban,High School,1
2525,Fair,Medium,Large,Rural,High School,0
2526,Fair,Low,Medium,Suburban,Master,0
2527,Good,Low,Small,Urban,Master,1
2528,Bad,Medium,Medium,Urban,High School,0
2529,Good,Low,Small,Urban,High School,0
2530,Fair,Low,Large,Suburban,High School,0
2531,Good,Medium,Medium,Urban,Master,1
2532,Fair,Low,Small,Urban,Master,0
2533,Bad,Low,Medium,Rural,Bachelor,0
2534,Good,Low,Medium,Suburban,Bachelor,1
2535,Good,Medium,Small,Suburban,Master,1
2536,Good,Medium,Medium,Suburban,High School,1
2537,Bad,Medium,Small,Urban,Master,1
2538,Good,Low,Small,Rural,Bachelor,1
2539,Good,Low,Large,Rural,High School,0
2540,Fair,Low,Small,Suburban,Bachelor,0
2541,Good,Medium,Large,Urban,Bachelor,1
2542,Good,High,Medium,Urban,Bachelor,1
2543,Fair,Low,Small,Urban,Bachelor,1
2544,Bad,Low,Small,Suburban,Master,0
2545,Fair,Low,Small,Urban,Master,1
2546,Bad,Medium,Small,Suburban,Bachelor,0
2547,Fair,Medium,Medium,Suburban,Bachelor,1
2548,Fair,Medium,Medium,Urban,High School,0
2549,Bad,High,Medium,Suburban,Bachelor,0
2550,Fair,Medium,Medium,Urban,High School,0
2551,Bad,Low,Medium,Rural,Master,0
2552,Good,Low,Small,Urban,Master,1
2553,Good,Medium,Medium,Urban,High School,1
2554,Bad,Medium,Small,Urban,Master,0
2555,Good,Medium,Small,Rural,Master,1
2556,Fair,Medium,Large,Suburban,Master,0
2557,Fair,Medium,Medium,Urban,Bachelor,1
2558,Bad,High,Medium,Urban,Master,0
2559,Fair,Medium,Medium,Suburban,Bachelor,0
2560,Good,Medium,Small,Urban,High School,1
2561,Good,Low,Medium,Rural,High School,1
2562,Bad,Medium,Small,Rural,High School,1
2563,Bad,High,Small,Suburban,High School,0
2564,Fair,Low,Medium,Rural,High School,0
2565,Fair,Medium,Small,Urban,Master,0
2566,Fair,Medium,Large,Urban,Master,0
2567,Fair,Low,Large,Urban,Master,0
2568,Good,Medium,Large,Urban,Bachelor,1
2569,Good,Low,Medium,Rural,Master,0
2570,Fair,High,Large,Urban,Bachelor,0
2571,Good,High,Small,Rural,Bachelor,1
2572,Fair,Low,Medium,Suburban,Bachelor,1
2573,Fair,Low,Medium,Urban,Master,1
2574,Fair,Medium,Large,Urban,High School,0
2575,Fair,Low,Medium,Urban,Master,0
2576,Good,Low,Medium,Urban,Master,0
2577,Fair,Medium,Medium,Urban,Master,1
2578,Fair,Low,Medium,Urban,Master,0
2579,Fair,Low,Medium,Suburban,Bachelor,0
2580,Bad,High,Medium,Suburban,Master,0
2581,Good,High,Small,Urban,Master,1
2582,Fair,Medium,Large,Urban,Master,1
2583,Fair,High,Small,Rural,Master,1
2584,Fair,Low,Medium,Urban,Master,1
2585,Fair,Low,Medium,Urban,High School,0
2586,Bad,Low,Medium,Suburban,Master,0
2587,Fair,Medium,Medium,Rural,High School,1
2588,Fair,High,Large,Rural,Bachelor,1
2589,Good,Medium,Small,Urban,Bachelor,1
2590,Good,High,Medium,Suburban,Bachelor,1
2591,Good,Medium,Small,Urban,Bachelor,1
2592,Fair,Low,Medium,Rural,Master,0
2593,Fair,Medium,Large,Urban,Master,0
2594,Bad,Low,Medium,Urban,Bachelor,0
2595,Good,Low,Large,Rural,Bachelor,1
2596,Fair,Medium,Small,Rural,Master,1
2597,Fair,Medium,Small,Suburban,Bachelor,1
2598,Fair,Medium,Small,Urban,Bachelor,1
2599,Bad,Medium,Medium,Urban,Bachelor,1
2600,Fair,Low,Medium,Rural,Master,1
2601,Bad,Medium,Small,Suburban,Bachelor,1
2602,Good,Medium,Large,Urban,Master,0
2603,Fair,Low,Small,Urban,Bachelor,0
2604,Bad,High,Medium,Rural,High School,0
2605,Fair,Medium,Small,Suburban,High School,1
2606,Bad,Medium,Small,Suburban,Bachelor,1
2607,Fair,High,Small,Urban,Bachelor,1
2608,Good,High,Medium,Suburban,Bachelor,1
2609,Bad,High,Large,Rural,Bachelor,0
2610,Good,Low,Medium,Urban,Bachelor,1
2611,Bad,Low,Small,Suburban,Master,0
2612,Fair,Low,Small,Urban,Master,1
2613,Good,Low,Large,Urban,Master,1
2614,Fair,High,Medium,Suburban,Master,1
2615,Bad,Medium,Large,Rural,Bachelor,0
2616,Fair,Low,Small,Suburban,High School,1
2617,Fair,Low,Large,Urban,High School,0
2618,Good,Low,Medium,Urban,Bachelor,1
2619,Fair,Medium,Large,Rural,Bachelor,0
2620,Good,Medium,Medium,Urban,Master,1
2621,Good,High,Small,Rural,Master,1
2622,Fair,High,Large,Urban,High School,0
2623,Good,Low,Large,Rural,Bachelor,0
2624,Fair,Low,Large,Rural,Bachelor,0
2625,Good,Low,Medium,Urban,Master,0
2626,Bad,Low,Medium,Suburban,High School,0
2627,Fair,High,Medium,Urban,Bachelor,0
2628,Fair,Medium,Medium,Urban,Master,1
2629,Fair,Medium,Large,Urban,Master,1
2630,Fair,Medium,Small,Suburban,Bachelor,1
2631,Good,Low,Small,Urban,High School,0
2632,Bad,Low,Small,Suburban,Bachelor,0
2633,Bad,Medium,Small,Urban,Master,0
2634,Good,Medium,Medium,Urban,Bachelor,1
2635,Fair,Low,Medium,Suburban,Master,1
2636,Good,Medium,Small,Suburban,Bachelor,1
2637,Good,High,Large,Suburban,Bachelor,1
2638,Good,Medium,Medium,Suburban,Master,1
2639,Good,Medium,Large,Rural,Bachelor,0
2640,Fair,Medium,Medium,Urban,Bachelor,1
2641,Bad,Medium,Medium,Urban,Bachelor,0
2642,Good,Medium,Large,Suburban,Master,1
2643,Fair,High,Large,Suburban,High School,1
2644,Bad,Low,Small,Suburban,Bachelor,0
2645,Fair,Medium,Large,Suburban,Bachelor,0
2646,Good,Low,Small,Urban,Bachelor,1
2647,Fair,Low,Large,Urban,Master,0
2648,Fair,Medium,Medium,Suburban,Bachelor,1
2649,Fair,High,Medium,Urban,Bachelor,1
2650,Fair,Low,Large,Urban,Bachelor,0
2651,Fair,Low,Medium,Urban,Master,0
2652,Fair,Low,Medium,Urban,High School,0
2653,Bad,Medium,Small,Suburban,Master,1
2654,Good,Low,Small,Urban,High School,1
2655,Fair,Low,Large,Rural,Bachelor,0
2656,Good,Medium,Large,Suburban,Bachelor,0
2657,Good,Low,Medium,Urban,High School,0
2658,Fair,Medium,Large,Urban,High School,0
2659,Fair,Medium,Medium,Urban,High School,1
2660,Fair,Low,Small,Suburban,High School,1
2661,Good,Medium,Medium,Urban,Master,0
2662,Fair,Medium,Small,Urban,Master,1
2663,Fair,Medium,Medium,Urban,High School,1
2664,Fair,Medium,Small,Suburban,High School,1
2665,Fair,Low,Large,Suburban,Master,0
2666,Bad,High,Small,Suburban,High School,1
2667,Fair,Medium,Small,Rural,Master,1
2668,Good,Low,Large,Urban,High School,0
2669,Fair,Low,Medium,Suburban,Master,0
2670,Fair,Low,Small,Urban,Bachelor,1
2671,Fair,Low,Small,Suburban,High School,0
2672,Good,Medium,Large,Suburban,High School,1
2673,Bad,Low,Medium,Urban,Bachelor,0
2674,Good,Low,Medium,Urban,Bachelor,1
2675,Fair,Medium,Medium,Rural,Bachelor,0
2676,Fair,Low,Medium,Urban,High School,0
2677,Bad,Medium,Large,Urban,Bachelor,0
2678,Bad,Medium,Medium,Rural,Bachelor,0
2679,Fair,Low,Small,Suburban,Bachelor,1
2680,Fair,Medium,Small,Suburban,High School,1
2681,Good,Medium,Large,Rural,Bachelor,1
2682,Bad,Low,Small,Urban,Bachelor,0
2683,Fair,Low,Large,Urban,Master,0
2684,Fair,Medium,Medium,Suburban,Master,1
2685,Bad,High,Small,Suburban,High School,1
2686,Bad,Medium,Medium,Urban,High School,0
2687,Fair,Low,Large,Urban,High School,0
2688,Fair,Medium,Large,Urban,High School,0
2689,Fair,Medium,Medium,Rural,High School,0
2690,Fair,Medium,Small,Urban,High School,1
2691,Fair,Medium,Small,Rural,High School,1
2692,Bad,Medium,Small,Rural,High School,1
2693,Fair,High,Small,Suburban,Bachelor,1
2694,Good,Medium,Small,Suburban,High School,1
2695,Fair,Medium,Small,Urban,High School,1
2696,Fair,Low,Large,Urban,Bachelor,0
2697,Fair,High,Small,Suburban,High School,1
2698,Good,High,Medium,Urban,High School,1
2699,Good,Low,Small,Urban,High School,1
2700,Fair,Medium,Large,Suburban,Bachelor,0
2701,Good,Low,Small,Urban,Master,1
2702,Bad,Medium,Small,Suburban,High School,0
2703,Bad,Medium,Small,Urban,Bachelor,1
2704,Good,Low,Small,Urban,Bachelor,1
2705,Good,High,Medium,Urban,Bachelor,1
2706,Bad,Low,Medium,Rural,Master,0
2707,Fair,Medium,Medium,Rural,Master,0
2708,Bad,Medium,Large,Urban,High School,0
2709,Fair,Low,Large,Urban,Bachelor,0
2710,Good,Low,Large,Rural,Bachelor,0
2711,Fair,Low,Medium,Urban,Master,0
2712,Fair,Medium,Small,Urban,Master,1
2713,Fair,Medium,Small,Urban,High School,1
2714,Bad,Low,Large,Suburban,High School,0
2715,Fair,Low,Large,Urban,Master,0
2716,Fair,Low,Large,Urban,Bachelor,0
2717,Good,Medium,Large,Suburban,Bachelor,1
2718,Good,Medium,Large,Urban,Bachelor,0
2719,Bad,Low,Medium,Suburban,High School,0
2720,Good,Medium,Medium,Suburban,Master,0
2721,Good,Low,Medium,Urban,Master,0
2722,Good,High,Medium,Urban,Bachelor,1
2723,Fair,High,Medium,Suburban,Bachelor,1
2724,Fair,Medium,Small,Urban,Bachelor,1
2725,Fair,High,Small,Urban,High School,1
2726,Bad,High,Medium,Suburban,High School,0
2727,Fair,High,Large,Suburban,High School,1
2728,Fair,Medium,Large,Urban,Master,0
2729,Fair,Low,Large,Urban,Bachelor,0
2730,Good,Low,Medium,Urban,High School,1
2731,Fair,Low,Large,Suburban,Bachelor,0
2732,Bad,Medium,Medium,Suburban,High School,0
2733,Good,Low,Large,Suburban,High School,0
2734,Good,Low,Small,Suburban,Bachelor,1
2735,Good,Medium,Large,Rural,Bachelor,0
2736,Good,Low,Medium,Urban,Bachelor,1
2737,Fair,Medium,Large,Urban,Bachelor,0
2738,Good,High,Large,Rural,Bachelor,0
2739,Bad,Medium,Small,Urban,Bachelor,1
2740,Fair,Medium,Medium,Urban,Bachelor,0
2741,Fair,Medium,Large,Urban,Bachelor,0
2742,Bad,Medium,Medium,Rural,Bachelor,0
2743,Bad,Low,Medium,Urban,Bachelor,0
2744,Fair,High,Medium,Urban,Bachelor,1
2745,Good,Low,Medium,Suburban,High School,0
2746,Fair,Low,Small,Urban,High School,0
2747,Bad,Medium,Large,Rural,Bachelor,0
2748,Good,Low,Medium,Urban,Bachelor,1
2749,Fair,Low,Medium,Suburban,Bachelor,0
2750,Fair,Low,Small,Urban,Master,1
2751,Fair,Low,Small,Rural,Bachelor,1
2752,Fair,Low,Small,Rural,Master,1
2753,Fair,Low,Small,Suburban,Bachelor,0
2754,Good,Medium,Small,Rural,High School,1
2755,Fair,High,Medium,Urban,Master,1
2756,Fair,Low,Small,Rural,Master,1
2757,Good,High,Small,Suburban,Bachelor,1
2758,Good,Low,Large,Rural,High School,0
2759,Bad,Low,Medium,Suburban,High School,0
2760,Bad,Low,Small,Urban,Master,1
2761,Bad,Medium,Small,Suburban,High School,1
2762,Fair,Medium,Small,Urban,Bachelor,0
2763,Fair,Medium,Small,Suburban,Bachelor,1
2764,Bad,Medium,Small,Urban,High School,1
2765,Good,Medium,Medium,Urban,Master,1
2766,Fair,Medium,Large,Rural,Master,1
2767,Fair,High,Large,Rural,Bachelor,0
2768,Fair,Low,Medium,Rural,Bachelor,0
2769,Fair,Low,Medium,Suburban,Master,0
2770,Bad,Medium,Medium,Suburban,Bachelor,0
2771,Fair,Medium,Medium,Suburban,Bachelor,0
2772,Good,Low,Small,Urban,Bachelor,1
2773,Fair,Low,Medium,Rural,High School,1
2774,Fair,Medium,Small,Rural,Master,0
2775,Fair,Medium,Small,Suburban,Bachelor,1
2776,Bad,Low,Medium,Rural,Bachelor,0
2777,Bad,High,Medium,Suburban,Master,0
2778,Fair,Medium,Small,Urban,Bachelor,1
2779,Fair,Medium,Small,Rural,High School,1
2780,Bad,Medium,Medium,Urban,Master,0
2781,Good,High,Large,Suburban,High School,1
2782,Good,Low,Large,Urban,Bachelor,0
2783,Good,Low,Large,Suburban,Bachelor,1
2784,Good,Medium,Large,Suburban,Bachelor,0
2785,Fair,Medium,Large,Suburban,Master,0
2786,Good,Low,Medium,Suburban,Bachelor,1
2787,Bad,High,Small,Urban,Master,1
2788,Good,Medium,Medium,Suburban,Bachelor,1
2789,Good,Low,Small,Rural,Master,1
2790,Good,Low,Small,Urban,Bachelor,1
2791,Good,Low,Small,Urban,Bachelor,0
2792,Fair,Medium,Medium,Urban,Master,1
2793,Fair,High,Medium,Rural,High School,1
2794,Fair,Medium,Small,Suburban,High School,1
2795,Fair,High,Small,Rural,Master,1
2796,Bad,High,Medium,Suburban,Master,0
2797,Fair,Medium,Large,Urban,Master,0
2798,Good,Medium,Small,Suburban,Bachelor,1
2799,Bad,Medium,Large,Urban,Bachelor,0
2800,Good,Medium,Large,Urban,High School,0
2801,Good,Low,Small,Urban,Bachelor,1
2802,Good,Medium,Medium,Urban,Bachelor,1
2803,Good,Low,Medium,Urban,High School,1
2804,Fair,High,Small,Urban,Bachelor,1
2805,Good,High,Medium,Urban,Bachelor,1
2806,Good,Low,Medium,Urban,Bachelor,1
2807,Bad,Low,Large,Suburban,Bachelor,0
2808,Fair,Medium,Medium,Urban,Master,0
2809,Good,Medium,Small,Urban,Bachelor,1
2810,Fair,Low,Medium,Urban,Bachelor,0
2811,Fair,Medium,Large,Suburban,Bachelor,0
2812,Fair,Low,Large,Suburban,High School,0
2813,Bad,Low,Medium,Rural,Bachelor,0
2814,Fair,Low,Medium,Rural,Bachelor,1
2815,Good,Low,Medium,Urban,Bachelor,0
2816,Fair,Medium,Medium,Urban,Master,0
2817,Bad,High,Large,Urban,Bachelor,0
2818,Bad,Medium,Medium,Rural,High School,0
2819,Fair,Medium,Small,Suburban,Bachelor,1
2820,Good,Low,Large,Urban,Master,1
2821,Fair,Medium,Medium,Urban,Bachelor,1
2822,Fair,Low,Medium,Urban,Master,0
2823,Fair,Medium,Small,Urban,Master,0
2824,Fair,High,Large,Rural,High School,0
2825,Good,Low,Small,Suburban,High School,1
2826,Good,Medium,Medium,Suburban,Bachelor,1
2827,Bad,Low,Small,Urban,High School,0
2828,Fair,Low,Large,Urban,Bachelor,0
2829,Bad,Low,Small,Suburban,Master,0
2830,Fair,Low,Small,Suburban,Bachelor,0
2831,Fair,Low,Medium,Urban,Bachelor,0
2832,Bad,Low,Medium,Suburban,Bachelor,0
2833,Fair,Medium,Medium,Rural,High School,1
2834,Fair,Low,Large,Urban,Master,0
2835,Good,Medium,Small,Suburban,Bachelor,1
2836,Good,High,Large,Urban,Bachelor,0
2837,Bad,Medium,Large,Suburban,High School,0
2838,Good,Low,Medium,Urban,Master,1
2839,Fair,Low,Large,Suburban,Bachelor,0
2840,Fair,High,Small,Urban,High School,1
2841,Good,Medium,Small,Urban,Master,1
2842,Good,Medium,Medium,Suburban,Master,1
2843,Good,Low,Small,Suburban,Bachelor,1
2844,Fair,Medium,Small,Rural,Bachelor,1
2845,Fair,Low,Large,Suburban,Master,0
2846,Good,High,Small,Suburban,Master,1
2847,Fair,High,Large,Suburban,Bachelor,0
2848,Fair,Low,Medium,Urban,Bachelor,0
2849,Fair,Medium,Medium,Urban,High School,1
2850,Fair,Low,Small,Urban,High School,1
2851,Fair,Medium,Large,Urban,High School,0
2852,Bad,High,Large,Urban,High School,0
2853,Good,Medium,Medium,Rural,Master,0
2854,Bad,Low,Medium,Rural,High School,0
2855,Fair,Low,Small,Rural,Master,1
2856,Fair,High,Medium,Rural,Bachelor,1
2857,Bad,Medium,Large,Urban,Bachelor,0
2858,Bad,Medium,Large,Urban,Bachelor,0
2859,Bad,Low,Medium,Suburban,Bachelor,0
2860,Good,Low,Medium,Rural,Bachelor,1
2861,Fair,High,Large,Urban,Bachelor,0
2862,Good,Medium,Medium,Suburban,Master,0
2863,Fair,Medium,Medium,Urban,Bachelor,1
2864,Fair,Medium,Large,Urban,Master,0
2865,Fair,Medium,Medium,Urban,Master,1
2866,Fair,Low,Small,Urban,Master,1
2867,Good,Low,Medium,Rural,High School,0
2868,Fair,Medium,Small,Urban,Master,0
2869,Fair,Medium,Large,Rural,Bachelor,1
2870,Good,Medium,Medium,Urban,Master,1
2871,Good,High,Medium,Rural,Bachelor,0
2872,Good,Low,Medium,Suburban,Bachelor,0
2873,Fair,Low,Medium,Suburban,Master,0
2874,Good,High,Small,Urban,High School,1
2875,Fair,Medium,Medium,Suburban,Bachelor,0
2876,Fair,Medium,Large,Rural,High School,0
2877,Fair,Medium,Medium,Urban,High School,0
2878,Fair,Medium,Small,Urban,Master,1
2879,Bad,Low,Small,Urban,High School,0
2880,Fair,Medium,Medium,Urban,Master,1
2881,Good,High,Medium,Urban,Bachelor,1
2882,Fair,Medium,Medium,Suburban,Bachelor,1
2883,Bad,Medium,Small,Urban,Bachelor,0
2884,Bad,Low,Small,Suburban,High School,0
2885,Good,Low,Small,Rural,Master,1
2886,Fair,Low,Medium,Suburban,Master,0
2887,Fair,Low,Large,Urban,Bachelor,0
2888,Good,High,Small,Suburban,High School,1
2889,Good,Medium,Small,Urban,Bachelor,1
2890,Fair,Medium,Small,Urban,High School,0
2891,Fair,Medium,Large,Urban,Master,0
2892,Good,Low,Medium,Rural,Master,0
2893,Fair,High,Large,Suburban,Bachelor,1
2894,Bad,Low,Small,Urban,Master,0
2895,Good,Low,Large,Urban,High School,0
2896,Fair,Medium,Medium,Urban,Bachelor,0
2897,Fair,High,Large,Rural,Master,0
2898,Fair,High,Large,Rural,High School,1
2899,Bad,Low,Medium,Urban,Bachelor,0
2900,Bad,High,Large,Urban,Bachelor,0
2901,Good,Low,Medium,Suburban,Bachelor,0
2902,Bad,Low,Small,Urban,Bachelor,1
2903,Fair,High,Small,Urban,Bachelor,1
2904,Fair,High,Large,Suburban,Bachelor,1
2905,Bad,Medium,Small,Urban,High School,1
2906,Good,Medium,Medium,Suburban,High School,1
2907,Fair,High,Small,Urban,Bachelor,1
2908,Fair,Medium,Small,Suburban,High School,1
2909,Fair,High,Large,Suburban,Master,0
2910,Fair,Medium,Medium,Suburban,Master,1
2911,Bad,High,Medium,Suburban,Bachelor,0
2912,Good,High,Small,Urban,Master,1
2913,Good,Low,Medium,Urban,Bachelor,1
2914,Fair,High,Medium,Urban,High School,0
2915,Fair,Medium,Medium,Urban,Bachelor,1
2916,Good,Low,Small,Urban,Bachelor,1
2917,Good,Medium,Small,Suburban,High School,1
2918,Fair,Low,Medium,Urban,Bachelor,0
2919,Fair,Medium,Small,Urban,High School,1
2920,Fair,High,Small,Rural,Bachelor,1
2921,Good,Low,Small,Suburban,Bachelor,1
2922,Good,Medium,Large,Urban,Bachelor,0
2923,Bad,High,Medium,Urban,High School,1
2924,Fair,Medium,Medium,Urban,High School,0
2925,Good,Low,Medium,Urban,Bachelor,1
2926,Good,Medium,Large,Rural,Master,1
2927,Good,Medium,Medium,Urban,Bachelor,0
2928,Good,Medium,Medium,Suburban,Bachelor,1
2929,Fair,High,Medium,Rural,Bachelor,1
2930,Fair,Medium,Medium,Suburban,Master,0
2931,Fair,High,Large,Urban,Bachelor,0
2932,Bad,Medium,Small,Suburban,High School,0
2933,Fair,Low,Small,Rural,High School,0
2934,Good,Medium,Medium,Suburban,High School,1
2935,Bad,Medium,Small,Rural,Bachelor,1
2936,Good,Medium,Large,Suburban,High School,1
2937,Fair,Low,Small,Rural,High School,0
2938,Good,Low,Large,Rural,Bachelor,1
2939,Bad,Low,Medium,Suburban,Bachelor,1
2940,Fair,Low,Medium,Suburban,Master,1
2941,Fair,Medium,Medium,Suburban,Bachelor,0
2942,Fair,Low,Medium,Suburban,Master,0
2943,Good,Medium,Medium,Rural,Master,1
2944,Good,Low,Medium,Urban,Master,1
2945,Bad,Low,Small,Suburban,Master,0
2946,Fair,Medium,Medium,Suburban,High School,0
2947,Fair,Low,Large,Suburban,Master,0
2948,Fair,High,Medium,Suburban,Bachelor,1
2949,Good,Low,Small,Urban,Master,1
2950,Good,Medium,Medium,Urban,Bachelor,1
2951,Fair,High,Medium,Rural,High School,1
2952,Good,Medium,Medium,Rural,Master,1
2953,Fair,Low,Medium,Urban,High School,0
2954,Good,Medium,Large,Suburban,Master,1
2955,Fair,Medium,Medium,Rural,Bachelor,1
2956,Good,High,Large,Suburban,Bachelor,1
2957,Good,High,Large,Suburban,Bachelor,1
2958,Fair,Low,Large,Urban,High School,0
2959,Good,High,Medium,Suburban,Master,1
2960,Bad,Low,Medium,Suburban,Master,0
2961,Fair,Low,Small,Suburban,Master,0
2962,Fair,High,Medium,Suburban,Master,1
2963,Good,Low,Small,Urban,High School,0
2964,Good,Low,Large,Rural,Bachelor,0
2965,Good,Low,Large,Suburban,Bachelor,0
2966,Good,Medium,Small,Suburban,Bachelor,1
2967,Fair,Medium,Medium,Rural,High School,0
2968,Good,Medium,Large,Rural,Bachelor,0
2969,Fair,Low,Medium,Rural,Bachelor,0
2970,Fair,Medium,Medium,Suburban,High School,1
2971,Bad,High,Small,Suburban,High School,1
2972,Good,High,Large,Urban,High School,0
2973,Good,Low,Medium,Urban,Master,1
2974,Fair,High,Small,Suburban,Bachelor,1
2975,Bad,Medium,Small,Suburban,High School,1
2976,Good,Low,Small,Urban,Master,1
2977,Bad,Low,Large,Rural,High School,0
2978,Good,Low,Small,Suburban,Bachelor,1
2979,Good,Medium,Small,Suburban,Master,1
2980,Fair,Low,Small,Urban,Bachelor,0
2981,Fair,Medium,Small,Urban,Bachelor,1
2982,Good,Low,Small,Rural,High School,1
2983,Good,High,Large,Urban,High School,1
2984,Fair,Low,Large,Suburban,Bachelor,0
2985,Good,High,Small,Suburban,High School,1
2986,Bad,High,Large,Suburban,Master,0
2987,Fair,Low,Large,Suburban,Bachelor,0
2988,Good,Medium,Medium,Urban,Bachelor,1
2989,Good,Low,Small,Urban,High School,1
2990,Bad,High,Large,Suburban,Master,0
2991,Good,Medium,Medium,Suburban,Bachelor,1
2992,Fair,Low,Large,Urban,Bachelor,0
2993,Fair,Low,Large,Urban,Bachelor,0
2994,Bad,Low,Medium,Urban,Bachelor,0
2995,Good,High,Large,Suburban,Bachelor,0
2996,Bad,Medium,Small,Urban,Bachelor,1
2997,Fair,High,Small,Urban,Bachelor,1
2998,Fair,Low,Small,Suburban,Bachelor,0
2999,Good,Low,Large,Urban,High School,0
3000,Fair,High,Medium,Suburban,High School,1
3001,Good,Low,Large,Urban,High School,0
3002,Fair,High,Large,Rural,High School,0
3003,Fair,Low,Medium,Urban,Master,0
3004,Fair,Low,Small,Urban,Bachelor,0
3005,Good,Medium,Large,Rural,Master,0
3006,Good,High,Large,Urban,Bachelor,1
3007,Bad,High,Small,Suburban,Bachelor,0
3008,Fair,Low,Medium,Urban,Master,0
3009,Bad,Low,Small,Urban,Bachelor,1
3010,Fair,Medium,Small,Suburban,Bachelor,1
3011,Fair,Medium,Medium,Rural,Bachelor,1
3012,Fair,Medium,Large,Urban,Bachelor,0
3013,Fair,Low,Small,Suburban,Master,1
3014,Fair,High,Large,Suburban,Bachelor,1
3015,Fair,Medium,Large,Urban,Master,1
3016,Good,High,Small,Suburban,Master,1
